facility_id,ReportDate,AppointmentType,VA Facility Location,state,NewPatients
520GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MOBILE VA CLINIC, AL",AL,40.0
520GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"EGLIN AIR FORCE BASE VA CLINIC, FL",FL,51.4
520QA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PANAMA CITY BEACH WEST VA CLIN, FL",FL,31.9
521GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HUNTSVILLE, AL",AL,27.0
521GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FLORENCE, AL",AL,17.3
521GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"RAINBOW CITY VA CLINIC, AL",AL,29.9
521GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"OXFORD VA CLINIC, AL",AL,50.7
521GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JASPER VA CLINIC, AL",AL,32.1
521GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BESSEMER VA CLINIC, AL",AL,110.7
521GH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CHILDERSBURG VA CLINIC, AL",AL,34.1
521GI,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GUNTERSVILLE VA CLINIC, AL",AL,20.0
521QB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BIRMINGHAM EAST VA CLINIC, AL",AL,22.3
523,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JAMAICA PLAIN VAMC, MA",MA,19.2
523A5,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BROCKTON VA MEDICAL CENTER, MA",MA,69.1
523BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LOWELL VA CLINIC, MA",MA,31.3
523GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FRAMINGHAM VA CLINIC, MA",MA,25.0
523GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PLYMOUTH VA CLINIC, MA",MA,53.0
526,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JAMES J. PETERS VAMC, NY",NY,8.6
526GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WHITE PLAINS VA CLINIC, NY",NY,154.0
528,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BUFFALO VA MEDICAL CENTER, NY",NY,17.9
528A4,2026-01-21,MENTAL HEALTH INDIVIDUAL,"VA WESTERN NEW YORK HEALTHCARE SYSTEM AT BATAVIA, NY",NY,25.0
528A6,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BATH VA MEDICAL CENTER, NY",NY,17.0
528A8,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SAMUEL S. STRATTON VAMC, NY",NY,35.9
528G2,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WESTPORT VA CLINIC, NY",NY,27.0
528G5,2026-01-21,MENTAL HEALTH INDIVIDUAL,"AUBURN VA CLINIC, NY",NY,43.0
528G7,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CATSKILL VA CLINIC, NY",NY,13.0
528G9,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TOMPKINS COUNTY VA CLINIC, NY",NY,3.8
528GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JAMESTOWN VA CLINIC, NY",NY,15.3
528GL,2026-01-21,MENTAL HEALTH INDIVIDUAL,"POTSDAM VA CLINIC, NY",NY,14.0
528GM,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DONALD J. MITCHELL VA OPC, NY",NY,6.5
528GN,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BINGHAMTON VA CLINIC, NY",NY,12.5
528GO,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WATERTOWN VA CLINIC, NY",NY,21.3
528GP,2026-01-21,MENTAL HEALTH INDIVIDUAL,"OSWEGO VA CLINIC, NY",NY,29.5
528GQ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WEST SENECA VA CLINIC, NY",NY,26.0
528GR,2026-01-21,MENTAL HEALTH INDIVIDUAL,"OLEAN VA CLINIC, NY",NY,12.7
528QC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ROCHESTER CALKINS VA CLINIC, NY",NY,32.4
528QG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ERIE WEST VA CLINIC, NY",NY,25.7
529,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ABIE ABRAHAM VA CLINIC, PA",PA,22.7
531,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BOISE VA MEDICAL CENTER, ID",ID,41.7
531GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"TWIN FALLS VA CLINIC, ID",ID,44.3
531GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CALDWELL VA CLINIC, ID",ID,36.3
531GJ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SALMON VA CLINIC, ID",ID,50.0
534,2026-01-21,MENTAL HEALTH INDIVIDUAL,"RALPH H. JOHNSON VAMC, SC",SC,31.4
534BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SAVANNAH, GA",GA,31.9
534GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MYRTLE BEACH VA CLINIC, SC",SC,29.7
534GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BEAUFORT VA CLINIC, SC",SC,9.0
534GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GOOSE CREEK VA CLINIC, SC",SC,12.7
534GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JOHN GIBSON, DAN JAMES, WILLIAM SAPP, AND FRANKIE SMILEY VA CLINIC, GA",GA,24.6
534GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NORTH CHARLESTON VA CLINIC, SC",SC,38.3
534GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BRUNSWICK VA CLINIC, GA",GA,73.0
